Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Ontology2	group
GO Biological Process	GO:0046688	response to copper ion	79	1.181423e-12	1.233406e-08	1.561273e-10	5.539364	5.054732	28	0.001565902	0.008674102	863	0.04417216	1	0.5343654	2.922093	1.368882	4	21	0.003401361	0.1904762	GO Biological Process	IFN1
GO Biological Process	GO:0050708	regulation of protein secretion	80	1.364071e-12	1.42409e-08	1.780113e-10	2.238894	42.87831	96	0.01328324	0.02973978	461	0.01034796	1	0.2343443	1.849622	9.191065	17	141	0.01445578	0.1205674	GO Biological Process	IFN1
MSigDB Pathway	PID_ERBB1_DOWNSTREAM_PATHWAY	ErbB1 downstream signaling	15	1.690513e-12	2.231477e-09	1.487651e-10	2.380007	35.29402	84	0.01093371	0.0260223	105	0.04307799	1	0.5415519	1.736715	6.909595	12	106	0.01020408	0.1132075	MSigDB Pathway	IFN1
GO Biological Process	GO:0006693	prostaglandin metabolic process	81	1.942325e-12	2.027787e-08	2.503441e-10	5.421597	5.16453	28	0.001599916	0.008674102	346	0.004584816	1	0.1383395	3.681837	1.629621	6	25	0.005102041	0.24	GO Biological Process	IFN1
GO Biological Process	GO:0046627	negative regulation of insulin receptor signaling pathway	82	2.108311e-12	2.201077e-08	2.68424e-10	3.845285	10.40235	40	0.003222537	0.01239157	310	0.00368455	1	0.1240861	3.835247	1.564437	6	24	0.005102041	0.25	GO Biological Process	IFN1
GO Biological Process	GO:0002706	regulation of lymphocyte mediated immunity	83	2.229897e-12	2.328012e-08	2.804834e-10	2.749739	23.27494	64	0.007210328	0.01982652	422	0.00784396	1	0.1940544	2.121626	6.127377	13	94	0.01105442	0.1382979	GO Biological Process	IFN1
GO Biological Process	GO:1900077	negative regulation of cellular response to insulin stimulus	84	3.626638e-12	3.78621e-08	4.507393e-10	3.776232	10.59257	40	0.003281465	0.01239157	383	0.005637067	1	0.1536579	3.540228	1.694806	6	26	0.005102041	0.2307692	GO Biological Process	IFN1
GO Biological Process	GO:0002708	positive regulation of lymphocyte mediated immunity	86	3.97816e-12	4.153199e-08	4.829301e-10	3.272645	14.66704	48	0.004543691	0.01486989	343	0.004490815	1	0.1366884	2.600167	3.845907	10	59	0.008503401	0.1694915	GO Biological Process	IFN1
MSigDB Pathway	PID_EPOPATHWAY	EPO signaling pathway	16	4.566986e-12	6.028422e-09	3.767763e-10	3.475906	12.65857	44	0.00392149	0.01363073	5	4.129252e-05	0.05450613	0.01090123	4.512055	2.216285	10	34	0.008503401	0.2941176	MSigDB Pathway	IFN1
MSigDB Pathway	PID_INTEGRIN2_PATHWAY	Beta2 integrin cell surface interactions	17	4.896833e-12	6.46382e-09	3.802247e-10	6.193126	3.875264	24	0.001200515	0.007434944	45	0.009844469	1	0.2887711	3.173997	1.890361	6	29	0.005102041	0.2068966	MSigDB Pathway	IFN1
GO Biological Process	GO:0090025	regulation of monocyte chemotaxis	89	5.68074e-12	5.930693e-08	6.6637e-10	5.174094	5.411575	28	0.001676448	0.008674102	104	0.0001443235	1	0.01448786	6.574708	0.912588	6	14	0.005102041	0.4285714	GO Biological Process	IFN1
GO Biological Process	GO:0051447	negative regulation of meiotic cell cycle	90	6.436048e-12	6.719234e-08	7.465816e-10	18.45392	0.6502684	12	0.0002014462	0.003717472	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0001300	chronological cell aging	91	6.524421e-12	6.811496e-08	7.48516e-10	52.2085	0.1532318	8	4.746956e-05	0.002478315	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0048387	negative regulation of retinoic acid receptor signaling pathway	95	1.48339e-11	1.548659e-07	1.630168e-09	4.356257	7.345756	32	0.002275637	0.009913259	4590	0.6264676	1	1	0.9588116	2.085915	2	32	0.00170068	0.0625	GO Biological Process	IFN1
MSigDB Pathway	ST_P38_MAPK_PATHWAY	p38 MAPK Pathway	18	2.005141e-11	2.646786e-08	1.470437e-09	3.316708	13.26616	44	0.004109717	0.01363073	173	0.09028908	1	0.6889109	2.073106	2.41184	5	37	0.004251701	0.1351351	MSigDB Pathway	IFN1
GO Biological Process	GO:0071496	cellular response to external stimulus	103	2.284642e-11	2.385166e-07	2.315695e-09	2.021349	53.42966	108	0.01655194	0.03345725	300	0.003298748	1	0.1147964	1.875009	11.73327	22	180	0.01870748	0.1222222	GO Biological Process	IFN1
GO Biological Process	GO:1901654	response to ketone	104	2.376194e-11	2.480747e-07	2.385333e-09	2.434584	29.57384	72	0.00916166	0.02230483	366	0.004937185	1	0.1408312	2.240818	5.801452	13	89	0.01105442	0.1460674	GO Biological Process	IFN1
GO Biological Process	GO:0071577	zinc ion transmembrane transport	106	2.644027e-11	2.760364e-07	2.604117e-09	7.106455	2.814343	20	0.0008718534	0.006195787	897	0.04831679	1	0.5623493	3.540228	0.8474031	3	13	0.00255102	0.2307692	GO Biological Process	IFN1
GO Biological Process	GO:0030277	maintenance of gastrointestinal epithelium	107	2.961939e-11	3.092264e-07	2.889967e-09	5.664197	4.237141	24	0.001312621	0.007434944	497	0.01207187	1	0.2535821	5.75287	0.5214789	3	8	0.00255102	0.375	GO Biological Process	IFN1
GO Biological Process	GO:0001959	regulation of cytokine-mediated signaling pathway	108	3.216332e-11	3.357851e-07	3.109121e-09	2.491585	27.29187	68	0.008454729	0.02106568	225	0.001595059	1	0.07401074	2.440611	5.736267	14	88	0.01190476	0.1590909	GO Biological Process	IFN1
GO Biological Process	GO:0014048	regulation of glutamate secretion	109	3.896773e-11	4.068231e-07	3.732322e-09	4.751963	5.892302	28	0.001825372	0.008674102	33	2.910262e-06	0.03038314	0.0009207011	8.948909	0.7822183	7	12	0.005952381	0.5833333	GO Biological Process	IFN1
GO Biological Process	GO:0055069	zinc ion homeostasis	110	4.210414e-11	4.395672e-07	3.996066e-09	6.918062	2.890983	20	0.0008955957	0.006195787	993	0.05860131	1	0.6161104	3.287354	0.912588	3	14	0.00255102	0.2142857	GO Biological Process	IFN1
GO Biological Process	GO:0002902	regulation of B cell apoptotic process	114	4.99571e-11	5.215521e-07	4.575019e-09	5.517604	4.349714	24	0.001347495	0.007434944	126	0.000227295	1	0.01883301	6.136395	0.9777729	6	15	0.005102041	0.4	GO Biological Process	IFN1
GO Biological Process	GO:0030187	melatonin biosynthetic process	115	6.686618e-11	6.980829e-07	6.070286e-09	15.01169	0.7993768	12	0.0002476384	0.003717472	1605	0.126124	1	0.8203954	7.670493	0.1303697	1	2	0.0008503401	0.5	GO Biological Process	IFN1
GO Biological Process	GO:0002579	positive regulation of antigen processing and presentation	116	7.300572e-11	7.621797e-07	6.570515e-09	14.89509	0.8056346	12	0.000249577	0.003717472	579	0.01723989	1	0.310854	5.113662	0.5866637	3	9	0.00255102	0.3333333	GO Biological Process	IFN1
MSigDB Pathway	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	Cytosolic DNA-sensing pathway	19	8.585992e-11	1.133351e-07	5.965005e-09	4.586546	6.104812	28	0.001891206	0.008674102	257	0.1560485	1	0.8014942	1.643677	3.650352	6	56	0.005102041	0.1071429	MSigDB Pathway	IFN1
GO Biological Process	GO:0032332	positive regulation of chondrocyte differentiation	117	9.046388e-11	9.444429e-07	8.072162e-09	3.3832	11.82312	40	0.003662678	0.01239157	278	0.00278022	1	0.1044083	4.794058	1.042958	5	16	0.004251701	0.3125	GO Biological Process	IFN1
MSigDB Pathway	BIOCARTA_LAIR_PATHWAY	Cells and Molecules involved in local acute inflammatory response	20	1.001502e-10	1.321983e-07	6.609913e-09	5.327246	4.505142	24	0.001395645	0.007434944	68	0.02157982	1	0.4189024	3.609644	1.108143	4	17	0.003401361	0.2352941	MSigDB Pathway	IFN1
GO Biological Process	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	118	1.031142e-10	1.076512e-06	9.122985e-09	2.422301	28.07249	68	0.008696557	0.02106568	411	0.006909032	1	0.1754995	2.085183	6.71404	14	103	0.01190476	0.1359223	GO Biological Process	IFN1
GO Biological Process	GO:1900151	regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	119	1.133355e-10	1.183223e-06	9.943047e-09	5.293944	4.533482	24	0.001404425	0.007434944	323	0.004091524	1	0.1322462	5.578541	0.7170334	4	11	0.003401361	0.3636364	GO Biological Process	IFN1
GO Biological Process	GO:0030502	negative regulation of bone mineralization	121	1.163689e-10	1.214891e-06	1.004042e-08	4.524035	6.189165	28	0.001917337	0.008674102	583	0.01737974	1	0.3112255	3.835247	1.042958	4	16	0.003401361	0.25	GO Biological Process	IFN1
GO Biological Process	GO:0046626	regulation of insulin receptor signaling pathway	122	1.27543e-10	1.331549e-06	1.091434e-08	3.342815	11.96596	40	0.003706928	0.01239157	563	0.01590876	1	0.2950044	2.876435	2.085915	6	32	0.005102041	0.1875	GO Biological Process	IFN1
GO Biological Process	GO:0035791	platelet-derived growth factor receptor-beta signaling pathway	123	1.285556e-10	1.34212e-06	1.091155e-08	8.758933	1.826707	16	0.0005658942	0.004956629	937	0.05341368	1	0.5951321	5.113662	0.3911091	2	6	0.00170068	0.3333333	GO Biological Process	IFN1
MSigDB Pathway	PID_IL2_1PATHWAY	IL2-mediated signaling events	21	1.381296e-10	1.823311e-07	8.682432e-09	2.795835	18.59909	52	0.005761801	0.01610905	21	0.002645669	1	0.1662992	2.78927	3.585167	10	55	0.008503401	0.1818182	MSigDB Pathway	IFN1
GO Biological Process	GO:0042135	neurotransmitter catabolic process	124	1.419932e-10	1.482409e-06	1.195491e-08	6.445542	3.10292	20	0.0009612514	0.006195787	1499	0.1126584	1	0.7846255	3.409108	0.5866637	2	9	0.00170068	0.2222222	GO Biological Process	IFN1
GO Biological Process	GO:0072289	metanephric nephron tubule formation	126	1.479885e-10	1.545e-06	1.22619e-08	6.429954	3.110442	20	0.0009635818	0.006195787	640	0.02331752	1	0.380367	7.670493	0.2607394	2	4	0.00170068	0.5	GO Biological Process	IFN1
